Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
15810910,"The Thousand Names (The Shadow Campaigns, #1)",Django Wexler,"Wexler, Django",,"=""0451465105""","=""9780451465108""",0,4.04,Roc,Hardcover,513,2013,2013,,2015/06/25,to-read,to-read (#7),to-read,,,,0,0
6388,"The da Vinci Code (Robert Langdon, #2)",Dan       Brown,"Brown, Dan",,"=""""","=""""",4,3.92,Doubleday Publishing (NY),ebook,522,2003,2003,2004/01/01,2007/06/29,,,read,,,,1,0
214240402,Deathseed (The Weirkey Chronicles Book 8),Sarah Lin,"Lin, Sarah",,"=""""","=""""",0,4.52,,Kindle Edition,465,2024,,2024/07/28,2024/07/21,,,read,,,,1,0
55614248,Think Again: The Power of Knowing What You Don't Know,Adam M. Grant,"Grant, Adam M.",,"=""""","=""""",5,4.15,Virgin Digital,Kindle Edition,319,2021,2021,2024/05/12,2024/02/05,,,read,,,,1,0
213353605,The Knight (The Last Horizon #3),Will Wight,"Wight, Will",,"=""""","=""""",4,4.49,Hidden Gnome Publishing,Kindle Edition,407,2024,2024,2024/07/21,2024/06/14,,,read,,,,1,0
578587,"Angels and Demons (Robert Langdon, #1)",Dan       Brown,"Brown, Dan",,"=""0552150738""","=""9780552150736""",3,3.94,Corgi Books,Paperback,620,2001,2000,2004/01/01,2007/06/29,,,read,,,,1,0
165023284,"The Olympian Affair (The Cinder Spires, #2)",Jim Butcher,"Butcher, Jim",,"=""0698138031""","=""9780698138032""",0,4.37,Ace,ebook,656,2023,2023,,2024/05/12,currently-reading,currently-reading (#2),currently-reading,,,,1,0
195698323,Wakespire (The Weirkey Chronicles #7),Sarah Lin,"Lin, Sarah",,"=""""","=""""",0,4.46,,Kindle Edition,505,2023,2023,2024/05/02,2024/04/24,,,read,,,,1,0
201127814,"The Engineer (The Last Horizon, #2)",Will Wight,"Wight, Will",,"=""""","=""""",4,4.45,Hidden Gnome Publishing,Kindle Edition,465,2023,2023,2024/04/23,2024/04/18,,,read,,,,1,0
138352330,The Last Echo of the Lord of Bells (Mage Errant #7),John Bierce,"Bierce, John",,"=""""","=""""",0,4.50,,Kindle Edition,750,2023,2023,2024/04/18,2024/04/18,,,read,,,,1,0
60872852,"Tongue Eater (Mage Errant, #6)",John Bierce,"Bierce, John",,"=""""","=""""",0,4.34,,Kindle Edition,631,2022,2022,2024/03/24,2024/03/06,,,read,,,,1,0
57289544,"The Siege of Skyhold (Mage Errant, #5)",John Bierce,"Bierce, John",,"=""""","=""""",0,4.35,Independently published,Kindle Edition,449,2021,2021,2024/03/06,2024/02/22,,,read,,,,1,0
54913644,"The Lost City of Ithos (Mage Errant, #4)",John Bierce,"Bierce, John",,"=""""","=""""",0,4.29,,Kindle Edition,443,2020,2020,2024/02/23,2024/02/20,,,read,,,,1,0
49234048,"A Traitor in Skyhold (Mage Errant, #3)",John Bierce,"Bierce, John",,"=""""","=""""",0,4.18,,Kindle Edition,362,2019,2019,2024/02/13,2024/02/12,,,read,,,,1,0
207670238,Alchemised,SenLinYu,"SenLinYu, SenLinYu",,"=""""","=""""",0,4.71,Del Rey Books,Hardcover,,2025,,,2024/02/17,to-read,to-read (#33),to-read,,,,0,0
43890637,"Jewel of the Endless Erg (Mage Errant, #2)",John Bierce,"Bierce, John",,"=""""","=""""",0,4.19,,Kindle Edition,278,2019,2019,2024/02/12,2024/02/11,,,read,,,,1,0
42267952,"Into the Labyrinth (Mage Errant, #1)",John Bierce,"Bierce, John",,"=""""","=""""",0,4.17,,Kindle Edition,216,2018,2018,2024/02/11,2020/07/19,,,read,,,,1,0
75319056,"System Collapse (The Murderbot Diaries, #7)",Martha Wells,"Wells, Martha",,"=""1250826985""","=""9781250826985""",0,4.22,Tordotcom,Kindle Edition,248,2023,2023,2024/02/10,2024/02/05,,,read,,,,1,0
53413743,"Fugitive Telemetry (The Murderbot Diaries, #6)",Martha Wells,"Wells, Martha",,"=""""","=""""",0,4.31,Tordotcom,Kindle Edition,172,2021,2021,2024/02/05,2024/02/04,,,read,,,,1,0
50659467,"A Court of Thorns and Roses (A Court of Thorns and Roses, #1)",Sarah J. Maas,"Maas, Sarah J.",,"=""1635575567""","=""9781635575569""",0,4.18,Bloomsbury Publishing,Paperback,419,2020,2015,,2024/02/04,to-read,to-read (#32),to-read,,,,0,0
17879100,"Super Powereds: Year 1 (Super Powereds, #1)",Drew  Hayes,"Hayes, Drew",,"=""""","=""""",0,4.35,,Kindle Edition,814,,2013,,2024/02/04,to-read,to-read (#31),to-read,,,,0,0
56229688,"The Pariah (Covenant of Steel, #1)",Anthony Ryan,"Ryan, Anthony",,"=""0316430773""","=""9780316430777""",0,4.19,Orbit,ebook,600,2021,2021,,2024/02/04,to-read,to-read (#30),to-read,,,,0,0
59339420,"Initiation (Sex Wizards, #1)",Alethea Faust,"Faust, Alethea",,"=""""","=""""",0,4.33,Alethea Faust LLC,Kindle Edition,279,2021,2021,,2024/02/04,to-read,to-read (#29),to-read,,,,0,0
36381037,"Cinder (The Lunar Chronicles, #1)",Marissa Meyer,"Meyer, Marissa",,"=""""","=""""",0,4.13,Feiwel & Friends,Hardcover,400,2012,2012,,2024/02/04,to-read,to-read (#28),to-read,,,,0,0
52680842,"Network Effect (The Murderbot Diaries, #5)",Martha Wells,"Wells, Martha",,"=""""","=""""",0,4.47,Tor.com,Kindle Edition,346,2020,2020,2024/02/04,2024/01/22,,,read,,,,1,0
35519109,"Exit Strategy (The Murderbot Diaries, #4)",Martha Wells,"Wells, Martha",,"=""""","=""""",0,4.38,Tordotcom,Kindle Edition,163,2018,2018,2024/01/22,2024/01/13,,,read,,,,1,0
36153880,"Rogue Protocol (The Murderbot Diaries, #3)",Martha Wells,"Wells, Martha",,"=""""","=""""",0,4.25,Tordotcom,Kindle Edition,158,2018,2018,2024/01/13,2024/01/01,,,read,,,,1,0
36223859,"Artificial Condition (The Murderbot Diaries, #2)",Martha Wells,"Wells, Martha",,"=""""","=""9781250186935""",0,4.27,Tordotcom,Kindle Edition,149,2018,2018,2024/01/01,2024/01/01,,,read,,,,1,0
33396171,"All Systems Red (The Murderbot Diaries, #1)",Martha Wells,"Wells, Martha",,"=""""","=""""",0,4.14,Tordotcom,Kindle Edition,156,2017,2017,2024/01/01,2024/01/01,,,read,,,,1,0
123024906,"Defiant (Skyward, #4)",Brandon Sanderson,"Sanderson, Brandon",,"=""""","=""""",0,4.34,Delacorte Press,Kindle Edition,414,2023,2023,2023/12/26,2023/12/24,,,read,,,,1,0
59058717,"Evershore (Skyward, #3.1)",Brandon Sanderson,"Sanderson, Brandon",Janci Patterson,"=""0593566637""","=""""",0,4.37,Delacorte Press,Kindle Edition,234,2021,2021,2023/12/24,2023/12/22,,,read,,,,1,0
59058716,"ReDawn (Skyward, #2.2)",Brandon Sanderson,"Sanderson, Brandon",Janci Patterson,"=""0593566629""","=""""",0,4.17,Delacorte Press,Kindle Edition,229,2021,2021,2023/12/22,2023/12/22,,,read,,,,1,0
37173847,"Foundryside (The Founders Trilogy, #1)",Robert Jackson Bennett,"Bennett, Robert Jackson",,"=""1524760374""","=""9781524760373""",0,4.18,Crown,ebook,501,2018,2018,,2023/11/28,to-read,to-read (#27),to-read,,,,0,0
56254221,Seven of Infinities (Xuya Universe),Aliette de Bodard,"Bodard, Aliette de",,"=""1625675321""","=""""",0,3.99,"JABberwocky Literary Agency, Inc.",Kindle Edition,115,2020,2020,2023/11/25,2023/07/09,gave-up-on,gave-up-on (#3),read,,,,1,0
188994646,"Fire and Song (Warformed: Stormweaver, #2)",Bryce O'Connor,"O'Connor, Bryce",,"=""1955252610""","=""9781955252614""",3,4.63,"Wraithmarked Creative, LLC",Kindle Edition,1049,2023,2023,2023/11/25,2023/11/25,,,read,,,,1,0
60531420,The Sunlit Man,Brandon Sanderson,"Sanderson, Brandon","Ernanda Souza, Nabetse Zitro, Kudriaken","=""1938570391""","=""9781938570391""",5,4.33,Dragonsteel Entertainment,Hardcover,447,2023,2023,,2023/11/18,,,read,,,,0,0
36679274,"Sword Catcher (The Chronicles of Castellane, #1)",Cassandra Clare,"Clare, Cassandra",,"=""0525619992""","=""9780525619994""",0,3.80,Del Rey Books,Hardcover,624,2023,2023,,2023/11/18,to-read,to-read (#26),to-read,,,,0,0
61242426,"Legends & Lattes (Legends & Lattes, #1)",Travis Baldree,"Baldree, Travis",,"=""""","=""""",0,4.11,Tor,Kindle Edition,296,2022,2022,,2023/08/27,to-read,to-read (#25),to-read,,,,0,0
25933927,Ísfólkið 2 - Nornaveiðar (Sagan um Ísfólkið),Margit Sandemo,"Sandemo, Margit",,"=""""","=""""",0,3.84,Katrin Agency,Kindle Edition,184,2014,1982,2020/10/22,2020/12/10,,,read,,,,1,0
